stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
519,WIL006EN,Wilshire Eb & 6Th Ns,600 Wilshire Blvd & 6Th St,34.0203919,-118.4965384,,,,
520,WILLINEF,Wilshire Eb & Lincoln Fs,800 Wilshire Blvd & Lincoln Blvd,34.0224148,-118.4941327,,,,
521,WIL016EN,Wilshire Eb & 16Th Ns,1600 Wilshire Blvd & 16Th St,34.0281259,-118.4870847,,,,
522,WIL018EN,Wilshire Eb & 18Th Ns,1800 Wilshire Blvd & 18Th St,34.0296862,-118.4851408,,,,
523,WIL020EN,Wilshire Eb & 20Th Ns,2000 Wilshire Blvd & 20Th St,34.0312113,-118.4832472,,,,
524,WIL022EN,Wilshire Eb & 22Nd Ns,2200 Wilshire Blvd & 22Nd St,34.0326101,-118.4815377,,,,
525,WIL024EN,Wilshire Eb & 24Th Ns,2400 Wilshire Blvd & 24Th St,34.0338263,-118.4800014,,,,
526,WIL026EF,Wilshire Eb & 26Th Fs,2600 Wilshire Blvd & 26Th St,34.0362315,-118.4770627,,,,
527,WILYLEEF,Wilshire Eb & Yale Fs,2900 Wilshire Blvd & Yale St,34.0383654,-118.4743987,,,,
528,WILBRKEN,Wilshire Eb & Berkeley Ns,3000 Wilshire Blvd & Berkeley St,34.0395801,-118.4728912,,,,
529,AVIIMPNF,Aviation Nb & Imperial Fs,11300 Aviation Blvd & W Imperial Hwy,33.9312562,-118.378303,,,,
530,AVI111NN,Aviation Nb & 111Th Ns,11100 Aviation Blvd & W 111Th St,33.9342428,-118.3783473,,,,
531,AVI104NN,Aviation Nb & 104Th Ns,10400 Aviation Blvd & W 104Th St,33.9417635,-118.3783719,,,,
532,CNTAVIWF,Century Wb & Aviaton Fs,5600 W Century Blvd & Aviation Blvd,33.9455989,-118.3791431,,,,
533,CNTINTWN,Century Wb & International Ns,5700 W Century Blvd & International Rd,33.945535,-118.3815869,,,,
534,ARPCNTNF,Airport Nb & Century Fs,9900 Airport Blvd & W Century Blvd,33.9463651,-118.3858989,,,,
535,096ARPWF,96Th Wb & Airport Fs,5900 W 96Th St & Airport Blvd,33.9492696,-118.3871097,,,,
536,096SEPWN,96Th Wb & Sepulveda Ns,6200 W 96Th St & Vicksburg Ave,33.9488192,-118.3957186,,,,
537,SEPWSTNN,Sepulveda Nb & Westchester Pkwy Ns,9100 Sepulveda Blvd & Westchester Pkwy,33.9543248,-118.3960887,,,,
538,SEPLATNF,Sepulveda Nb & La Tijera Fs,8700 Sepulveda Blvd & La Tijera Blvd,33.9576277,-118.396134,,,,
539,MANSEPWF,Manchester Wb & Sepulveda Fs,6300 W Manchester Ave & Sepulveda Blvd,33.9599376,-118.3966654,,,,
540,MANKENWF,Manchester Wb & Kentwood Fs,6400 W Manchester Ave & Kentwood Ave,33.95991,-118.4006292,,,,
541,MANEMNWN,Manchester Wb & Emerson Ns,6600 W Manchester Ave & Emerson Ave.,33.9599042,-118.4041542,,,,
542,MANMCLWN,Manchester Wb & Mc Connell Ns,6700 W Manchester Ave & Mc Connell Ave,33.959877,-118.4096164,,,,
543,MANGTNWN,Manchester Wb & Georgetown Ns,6800 W Manchester Ave & Georgetown Ave,33.9598787,-118.413385,,,,
544,MANLYLWF,Manchester Wb & Loyola Fs,7000 W Manchester Ave & Loyola Blvd,33.959867,-118.4170006,,,,
545,LIN083NN,Lincoln Nb & 83Rd Ns,8300 Lincoln Blvd & W 83Rd St,33.9624851,-118.4214207,,,,
546,LINLMUNN,Lincoln Nb & Lmu Dr Ns,7900 Lincoln Blvd & Lmu Dr,33.9654079,-118.4240941,,,,
549,LINJEFNF,Lincoln Nb & Jefferson Fs,6000 Lincoln Blvd & W Jefferson Blvd,33.9725497,-118.4303462,,,,
550,LINFIJNF,Lincoln Nb & Fiji Fs,4800 Lincoln Blvd & Fiji Way,33.9788171,-118.4367815,,,,
551,LINMINNF,Lincoln Nb & Mindanao Fs,4700 Lincoln Blvd & Mindanao Way,33.9808945,-118.4392156,,,,
552,LINBALNN,Lincoln Nb & Bali Ns,4500 Lincoln Blvd & Bali Way,33.9823976,-118.4407421,,,,
553,LINMAXNF,Lincoln Nb & Maxella Fs,4300 Lincoln Blvd & Maxella Ave,33.9859493,-118.4435297,,,,
554,LINLAKNN,Lincoln Nb & Lake Ns,800 Lincoln Blvd & Lake St,33.9987317,-118.462275,,,,
556,LINSNVNN,Lincoln Nb & Sunset Ns,600 Lincoln Blvd & Sunset Ave,34.0000995,-118.4651056,,,,
557,LINRSENN,Lincoln Nb & Rose Ns,300 Lincoln Blvd & Rose Ave,34.0011872,-118.4673909,,,,
558,LINMRNNN,Lincoln Nb & Marine Ns,3100 Lincoln Blvd & Marine St,34.00304,-118.4709192,,,,
559,LINASLNF,Lincoln Nb & Ashland Fs,2700 Lincoln Blvd & Ashland Ave,34.0051025,-118.4737302,,,,
560,LINPRLNF,Lincoln Nb & Pearl Fs,2300 Lincoln Blvd & Pearl St,34.0097645,-118.4797242,,,,
561,LINWILNF,Lincoln Nb & Wilshire Fs,1100 Lincoln Blvd & Wilshire Blvd,34.0224062,-118.4946763,,,,
562,LINIDSNF,Lincoln Nb & Idaho Fs,900 Lincoln Blvd & Idaho Ave,34.0264459,-118.4994552,,,,
563,LINMONNN,Lincoln Nb & Montana Ns,800 Lincoln Blvd & Montana Ave,34.027403,-118.5007085,,,,
564,MON011EF,Montana Eb & 11Th Fs,1100 Montana Ave & 11Th St,34.030026,-118.4977611,,,,
565,MONEULEF,Montana Eb & Euclid Fs,1300 Montana Ave & Euclid St,34.031547,-118.4958878,,,,
566,MON015EF,Montana Eb & 15Th Fs,1500 Montana Ave & 15Th St,34.0330736,-118.494009,,,,
567,MON022EN,Montana Eb & 22Nd Ns,2200 Montana Ave & 22Nd St,34.0382425,-118.4877218,,,,
568,MON024EF,Montana Eb & 24Th Fs,2400 Montana Ave & 24Th St,34.0400863,-118.4853406,,,,
569,MONHRVEN,Montana Eb & Harvard Ns,2800 Montana Ave & Harvard St,34.042817,-118.4820033,,,,
570,MONSFDEN,Montana Eb & Stanford Ns,2900 Montana Ave & Stanford St,34.044346,-118.4801527,,,,
571,MONCENEN,Montana Eb & Centinela Ns,12500 Montana Ave & Centinela Ave,34.0462454,-118.4780286,,,,
572,MONAMHEN,Montana Eb & Amherst Ns,12300 Montana Ave & S Amherst Ave,34.0480822,-118.4755325,,,,
573,MONGGREN,Montana Eb & Gretna Green Ns,12100 Montana Ave & Gretna Green Way,34.0493351,-118.4738928,,,,
574,MONBUNEF,Montana Eb & Bundy Fs,12000 Montana Ave & S Bundy Dr,34.0507176,-118.4722823,,,,
575,BUNMONNN,Bundy Nb & Montana Ns,800 S Bundy Dr & Montana Ave,34.0504005,-118.4722336,,,,
576,BUNMONSF,Bundy Sb & Montana Fs,800 S Bundy Dr & Montana Ave,34.0502134,-118.4720271,,,,
577,MONSVSEN,Montana Eb & San Vicente Ns,11900 Montana Ave & W San Vicente Blvd,34.0524771,-118.4700608,,,,
578,SVSMAYSF,San Vicente Sb & Mayfield Fs,11500 W San Vicente Blvd & Mayfield Ave,34.0531812,-118.4614309,,,,
579,SVSBHMWF,San Vicente Wb & Bringham Fs,11600 W San Vicente Blvd & Bringham Ave,34.0540311,-118.4625142,,,,
580,MONSVSWF,Montana Wb & San Vicente Fs,11900 Montana Ave & W San Vicente Blvd,34.0524122,-118.4703799,,,,
581,MONBUNWN,Montana Wb & Bundy Ns,12000 Montana Ave & S Bundy Dr,34.0506914,-118.472514,,,,
582,MONGGRWN,Montana Wb & Gretna Green Ns,12100 Montana Ave & Gretna Green Way,34.0497269,-118.4736823,,,,
583,MONAMHWN,Montana Wb & Amherst Ns,12300 Montana Ave & S Amherst Ave,34.0483205,-118.4753867,,,,
584,MONCENWN,Montana Wb & Centinela Ns,12500 Montana Ave & Centinela Ave,34.0464685,-118.4777807,,,,
585,MONSFDSN,Montana Sb & Stanford Ns,2900 Montana Ave & Stanford St,34.0446094,-118.4803325,,,,
586,MONBGMWN,Montana Wb & Burlingame Ns,2800 Montana Ave & Burlingame Ave,34.0430107,-118.4819727,,,,
587,MON026WF,Montana Wb & 26Th Fs,2600 Montana Ave & 26Th St,34.04129,-118.484098,,,,
588,MON024WF,Montana Wb & 24Th Fs,2400 Montana Ave & 24Th St,34.0399358,-118.4857765,,,,
589,MON022WN,Montana Wb & 22Nd Ns,2200 Montana Ave & 22Nd St,34.038824,-118.4871513,,,,
590,MON017WN,Montana Wb & 17Th Ns,1700 Montana Ave & 17Th St,34.0346845,-118.4922846,,,,
591,MON015WN,Montana Wb & 15Th Ns,1500 Montana Ave & 15Th St,34.033112,-118.494128,,,,
592,MONEULWN,Montana Wb & Euclid Ns,1300 Montana Ave & Euclid St,34.0315786,-118.4960469,,,,
593,MON011WN,Montana Wb & 11Th Ns,1100 Montana Ave & 11Th St,34.0300799,-118.4979521,,,,
594,LINMONSF,Lincoln Sb & Montana Fs,800 Lincoln Blvd & Montana Ave,34.0273337,-118.5006052,,,,
595,LINIDSSF,Lincoln Sb & Idaho Fs,900 Lincoln Blvd & Idaho Ave,34.0261077,-118.4991649,,,,
596,LINASLSN,Lincoln Sb & Ashland Ns,2700 Lincoln Blvd & Ashland Ave,34.0048886,-118.4737574,,,,
597,LINNAVSN,Lincoln Sb & Navy Ns,3100 Lincoln Blvd & Navy St,34.00313,-118.471355,,,,
598,LINRSESF,Lincoln Sb & Rose Fs,300 Lincoln Blvd & Rose Ave,34.0011042,-118.467536,,,,
599,LINSNVSN,Lincoln Sb & Sunset Ns,600 Lincoln Blvd & Sunset Ave,34.0002785,-118.4658203,,,,
600,LINMRPSF,Lincoln Sb & Marina Pointe Fs,4300 Lincoln Blvd & Marina Pointe Dr,33.9853272,-118.4434027,,,,
601,LINBALSN,Lincoln Sb & Bali Ns,4500 Lincoln Blvd & Bali Way,33.9826623,-118.4412731,,,,
602,LINMINSF,Lincoln Sb & Mindanao Fs,4700 Lincoln Blvd & Mindanao Way,33.9801697,-118.4388458,,,,
603,LINFIJSN,Lincoln Sb & Fiji Ns,4800 Lincoln Blvd & Fiji Way,33.9785911,-118.4368497,,,,
604,LINJEFSN,Lincoln Sb & Jefferson Ns,6000 Lincoln Blvd & W Jefferson Blvd,33.9723372,-118.4306694,,,,
605,LIN083SF,Lincoln Sb & 83Rd Fs,8300 Lincoln Blvd & W 83Rd St,33.9625019,-118.421688,,,,
606,MANLYLEF,Manchester Eb & Loyola Fs,7100 W Manchester Ave & Loyola Blvd,33.9596869,-118.4162957,,,,
607,MANGTNEN,Manchester Eb & Georgetown Ns,6900 W Manchester Ave & Georgetown Ave,33.9597142,-118.4138518,,,,
608,MANMCLEF,Manchester Eb & Mc Connell Ns,6800 W Manchester Ave & Mc Connell Ave,33.9597288,-118.4096032,,,,
609,MANEMNEF,Manchester Eb & Emerson Fs,6600 W Manchester Ave & Emerson Ave,33.959709,-118.4040303,,,,
610,MANKENEN,Manchester Eb & Kentwood Ns,6400 W Manchester Ave & Kentwood Ave,33.959751,-118.4005751,,,,
612,SEPLATSF,Sepulveda Sb & La Tijera Fs,8800 Sepulveda Blvd & La Tijera Blvd,33.956871,-118.3963836,,,,
613,096ARPEN,96Th Eb & Airport Ns,5900 W 96Th St & Airport Blvd,33.9493281,-118.3862329,,,,
614,CNTARPEF,Century Eb & Airport Fs,5900 W Century Blvd & Airport Blvd,33.9452724,-118.3856869,,,,
615,CNTINTEN,Century Eb & International Ns,5600 W Century Blvd & International Rd,33.945294,-118.3818371,,,,
616,CNTAVIEN,Century Eb & Aviation Ns,5500 W Century Blvd & Aviation Blvd,33.9453709,-118.3786806,,,,
617,AVI104SN,Aviation Sb & 104Th Ns,10400 Aviation Blvd & W 104Th St,33.9421697,-118.3785698,,,,
